	SaCNB458_BA	SaCNB527_BA	SaCNH643_BA	SaCNH646_BA	SaCNH713_RS	SaCNH718_RS	SaCNH877_BA	SaCNH905_BA	SaCNH941_SC	SaCNH962_SC	SaCNH963_SC	SaCNH964_SC	SaCNH996B_SC	SaCNH996_SC	SaCNP105_SC	SaCNP193_SC	SaCNQ748_GU	SaCNQ884_GU	SaCNR107_GU	SaCNR425_GU	SaCNR921_PL	SaCNS051_PL	SaCNS205_PL	SaCNS243_PL	SaCNS296_PL	SaCNS299_PL	SaCNS325_PL	SaCNS342_FJ	SaCNS673_FJ	SaCNS744_FJ	SaCNS820_FJ	SaCNS848_FJ	SaCNT005_FJ	SaCNT798_HI	SaCNT799_HI	SaCNT800_HI	SaCNT849_HI	SaCNT850_HI	SaCNT857_HI	SaCNT859_HI	SaCNX481_PM	SaCNX482_PM	SaCNX508_PM	SaCNX814_PM	SaCNX891_PM	SaCNY011_BA	SaCNY230_FJ	SaCNY231_FJ	SaCNY234_FJ	SaCNY237_FJ	SaCNY244_FJ	SaCNY256_FJ	SaCNY260_FJ	SaCNY280_FJ	SaCNY281_FJ	SaCNY282_FJ	SaCNY486_PV	SaCNY679_YU	SaCNY685_YU	SaCNY690_YU	SaCNY694_YU	SaDSM45545_FJ	SpCNH732_RS	SpCNQ768_GU	SpCNR114_GU	SpCNR510_GU	SpCNR894_PL	SpCNR909_PL	SpCNR942_PL	SpCNS055_PL	SpCNS103_PL	SpCNS237_PL	SpCNS801_FJ	SpCNS860_FJ	SpCNS996_FJ	SpCNT001_FJ	SpCNT003_FJ	SpCNT029_FJ	SpCNT045_FJ	SpCNT084_FJ	SpCNT124_FJ	SpCNT131_FJ	SpCNT133_FJ	SpCNT403_FJ	SpCNT569_FJ	SpCNT584_FJ	SpCNT603_FJ	SpCNT609_FJ	SpCNT796_HI	SpCNT851_HI	SpCNT854_HI	SpCNT855_HI	SpCNY202_SC	SpCNY239_FJ	SpCNY330_SC	SpCNY331_SC	SpCNY363_SC	SpCNY498_PV	SpCNY646_RS	SpCNY666_MD	SpCNY673_MD	SpCNY703_MD	SpDSM45543_FJ	SpDSM45544_FJ	SpDSM45547_FJ	SpDSM45548_FJ	SpDSM45549_FJ	StCNB440_BA	StCNB476_BA	StCNB536_BA	StCNH898_BA	StCNR699_BA	StCNS197_BA	StCNS416_BA	StCNT250_BA	StCNT261_BA	StCNY012_BA	StCNY678_YU	StCNY681_YU	VmarisAB18
SaCNS243_PL	96.63	96.59	98.7	98.71	98.87	99.1	98.64	98.69	98.84	98.36	98.35	98.81	98.33	98.34	98.81	98.84	99.36	99.33	99.26	99.37	99.36	99.33	99.4	100	99.32	99.36	99.42	99.33	99.34	99.33	99.33	98.87	99.35	98.92	98.91	98.9	98.92	98.91	98.81	98.77	98.79	98.8	98.81	98.81	98.82	98.65	99.28	99.28	99.32	99.33	99.33	99.33	99.32	98.86	94.99	99.32	98.34	98.66	96.58	96.64	96.62	98.9	87.29	87.27	87.36	87.23	87.29	87.37	87.2	87.15	87.33	86.98	87.02	87.26	87.31	87.42	87.3	87	87.38	87.13	87.21	87.39	87.35	87.36	87.25	87.19	87.29	87.2	87.03	87.06	87.22	87.33	87.48	87.45	87.25	87.25	87.17	87.34	87.33	86.92	87	86.97	87.39	87.37	87.24	86.93	87.42	87.59	87.74	87.87	87.6	87.83	87.63	87.7	87.6	87.66	87.61	87.53	87.55	81.82
SaCNS296_PL	96.64	96.62	98.7	98.73	98.84	99.09	98.66	98.72	98.84	98.39	98.39	98.77	98.36	98.36	98.8	98.84	99.31	99.32	99.3	99.3	99.31	99.31	99.39	99.32	100	99.37	99.38	99.34	99.35	99.34	99.38	98.93	99.35	98.93	98.91	98.91	98.91	98.91	98.84	98.77	98.81	98.78	98.85	98.8	98.81	98.66	99.3	99.32	99.31	99.35	99.36	99.34	99.32	98.91	94.98	99.33	98.38	98.63	96.58	96.64	96.67	98.98	87.3	87.21	87.3	87.27	87.29	87.29	87.21	87.11	87.27	87.04	86.93	87.28	87.27	87.39	87.46	86.89	87.28	87.25	87.22	87.46	87.35	87.25	87.23	87.12	87.24	87.15	86.97	86.96	87.19	87.38	87.45	87.5	87.23	87.67	87.62	87.31	87.36	86.92	86.98	86.93	87.36	87.37	86.96	86.9	87.28	87.6	87.67	87.7	87.63	87.7	87.65	87.54	87.56	87.59	87.57	87.53	87.61	81.77
SaCNS299_PL	96.7	96.61	98.72	98.7	98.84	99.11	98.65	98.72	98.83	98.39	98.37	98.74	98.37	98.37	98.78	98.83	99.31	99.33	99.28	99.31	99.32	99.32	99.34	99.36	99.37	100	99.35	99.34	99.31	99.33	99.34	98.88	99.38	98.93	98.89	98.93	98.93	98.89	98.78	98.76	98.84	98.87	98.85	98.82	98.85	98.64	99.24	99.29	99.3	99.35	99.31	99.31	99.36	98.89	95.05	99.32	98.37	98.64	96.63	96.67	96.7	98.92	87.3	87.29	87.27	87.27	87.2	87.29	87.27	87.09	87.35	87.07	86.96	87.23	87.31	87.48	87.34	87.04	87.3	87.26	87.24	87.48	87.32	87.35	87.24	87.2	87.22	87.19	87.06	87.01	87.17	87.41	87.51	87.45	87.27	87.57	87.67	87.38	87.37	86.97	87.05	86.97	87.37	87.34	87.01	87	87.35	87.6	87.74	87.83	87.65	87.74	87.66	87.68	87.57	87.7	87.68	87.55	87.61	81.8
SaCNS325_PL	96.66	96.57	98.73	98.74	98.88	99.05	98.63	98.74	98.83	98.35	98.36	98.84	98.33	98.33	98.83	98.82	99.39	99.35	99.26	99.37	99.35	99.35	99.62	99.42	99.38	99.35	100	99.33	99.36	99.36	99.37	98.89	99.35	98.92	98.92	98.92	98.92	98.93	98.77	98.82	98.81	98.86	98.84	98.82	98.85	98.64	99.29	99.35	99.34	99.3	99.33	99.32	99.36	98.9	95.04	99.35	98.33	98.66	96.61	96.67	96.66	98.92	87.26	87.27	87.33	87.26	87.28	87.27	87.2	87.08	87.28	86.99	86.96	87.29	87.31	87.28	87.32	86.98	87.28	87.06	87.17	87.25	87.11	87.24	87.18	87.15	87.26	87	86.99	87.02	87.14	87.33	87.39	87.29	87.18	87.19	87.15	87.27	87.23	86.9	86.96	86.9	87.18	87.29	87	86.96	87.22	87.54	87.62	87.73	87.59	87.69	87.61	87.57	87.53	87.67	87.59	87.54	87.55	81.78
SaCNS342_FJ	96.67	96.62	98.76	98.74	98.87	99.04	98.66	98.72	98.81	98.35	98.37	98.82	98.37	98.36	98.83	98.81	99.32	99.3	99.27	99.3	99.32	99.31	99.32	99.33	99.34	99.34	99.33	100	99.37	99.34	99.37	98.92	99.36	98.87	98.89	98.88	98.86	98.92	98.75	98.79	98.85	98.86	98.86	98.84	98.86	98.68	99.31	99.33	99.43	99.38	99.46	99.37	99.39	98.91	94.98	99.41	98.35	98.64	96.61	96.72	96.67	98.94	87.22	87.19	87.26	87.24	87.26	87.23	87.25	87.05	87.22	86.96	86.93	87.22	87.32	87.24	87.26	86.95	87.33	86.95	87.21	87.25	87.29	87.29	87.21	87.14	87.28	87.01	86.99	86.99	87.19	87.31	87.45	87.37	87.25	87.25	87.21	87.27	87.12	86.88	86.94	86.96	87.34	87.38	87.01	86.88	87.26	87.59	87.67	87.71	87.54	87.63	87.63	87.55	87.59	87.62	87.55	87.56	87.54	81.68
SaCNS673_FJ	96.67	96.58	98.73	98.72	98.88	99.08	98.63	98.74	98.84	98.33	98.34	98.83	98.29	98.29	98.84	98.84	99.34	99.31	99.27	99.35	99.3	99.28	99.33	99.34	99.35	99.31	99.36	99.37	100	99.39	99.37	98.92	99.38	98.89	98.92	98.9	98.89	98.91	98.81	98.76	98.85	98.81	98.85	98.86	98.84	98.63	99.32	99.38	99.42	99.34	99.38	99.52	99.42	98.91	95	99.42	98.33	98.6	96.58	96.65	96.61	98.93	87.31	87.25	87.47	87.4	87.25	87.31	87.27	87.08	87.46	86.98	86.91	87.22	87.26	87.25	87.41	86.93	87.26	87.06	87.18	87.32	87.09	87.28	87.25	87.2	87.22	87.09	86.98	87.02	87.16	87.36	87.41	87.39	87.3	87.27	87.22	87.31	87.26	86.91	87	86.99	87.23	87.27	86.95	86.88	87.33	87.56	87.68	87.74	87.64	87.58	87.64	87.59	87.61	87.62	87.62	87.58	87.56	81.73
SaCNS744_FJ	96.64	96.62	98.73	98.74	98.87	99.09	98.67	98.73	98.85	98.33	98.34	98.83	98.33	98.33	98.85	98.86	99.36	99.3	99.24	99.33	99.31	99.28	99.33	99.33	99.34	99.33	99.36	99.34	99.39	100	99.37	98.91	99.43	98.93	98.93	98.93	98.93	98.94	98.88	98.82	98.79	98.82	98.86	98.84	98.84	98.69	99.26	99.39	99.35	99.33	99.34	99.37	99.37	98.87	95.03	99.37	98.34	98.65	96.59	96.66	96.63	98.94	87.31	87.35	87.21	87.36	87.29	87.29	87.2	87.12	87.35	86.89	86.95	87.2	87.3	87.25	87.29	86.97	87.32	87.11	87.17	87.31	87.19	87.25	87.21	87.16	87.24	87.07	87.01	86.97	87.17	87.29	87.37	87.34	87.23	87.2	87.23	87.29	87.32	86.88	87	87	87.27	87.41	86.95	86.89	87.26	87.56	87.67	87.69	87.57	87.66	87.62	87.53	87.5	87.63	87.55	87.52	87.52	82.06
SaCNS820_FJ	96.68	96.61	98.73	98.71	98.85	99.09	98.64	98.72	98.85	98.36	98.37	98.86	98.34	98.36	98.83	98.85	99.35	99.34	99.32	99.31	99.32	99.31	99.36	99.33	99.38	99.34	99.37	99.37	99.37	99.37	100	98.89	99.36	98.92	98.91	98.91	98.92	98.91	98.83	98.82	98.88	98.82	98.85	98.88	98.85	98.64	99.34	99.35	99.4	99.36	99.36	99.35	99.38	98.9	95.03	99.4	98.35	98.64	96.6	96.66	96.64	98.93	87.24	87.27	87.38	87.28	87.25	87.28	87.23	87.01	87.29	87.06	86.94	87.22	87.29	87.26	87.44	86.92	87.35	87.05	87.14	87.37	87.15	87.18	87.16	87.12	87.25	87.01	87.01	86.99	87.18	87.34	87.35	87.4	87.27	87.27	87.22	87.35	87.23	86.87	86.95	86.92	87.19	87.32	86.95	86.91	87.24	87.56	87.71	87.63	87.61	87.67	87.65	87.59	87.52	87.59	87.57	87.54	87.63	81.8
SaCNS848_FJ	96.61	96.55	98.94	98.97	99.01	98.85	98.92	98.93	99.07	98.31	98.32	98.95	98.27	98.27	99	99.07	98.86	98.89	98.86	98.86	98.88	98.87	98.89	98.87	98.93	98.88	98.89	98.92	98.92	98.91	98.89	100	98.93	99.33	99.35	99.35	99.32	99.35	99.27	99.19	98.62	98.62	98.68	98.63	98.64	98.92	98.91	98.96	98.91	98.87	98.91	98.89	98.9	99.59	94.9	98.9	98.32	98.88	96.58	96.59	96.62	99.46	87.36	87.33	87.37	87.27	87.41	87.3	87.41	87.17	87.31	87.05	86.93	87.06	87.19	87.42	87.36	86.94	87.19	87.33	87.24	87.45	87.41	87.14	87.33	87.27	87.29	87.24	87.05	87.11	87.2	87.41	87.67	87.4	87.41	87.76	87.77	87.44	87.33	86.97	87.03	86.9	87.08	87.44	86.96	86.89	87.33	87.65	87.75	87.81	87.73	87.77	87.66	87.62	87.66	87.75	87.66	87.66	87.72	81.77
SaCNT005_FJ	96.63	96.59	98.71	98.75	98.87	99.1	98.65	98.71	98.86	98.37	98.37	98.78	98.34	98.33	98.83	98.87	99.32	99.31	99.29	99.35	99.31	99.29	99.34	99.35	99.35	99.38	99.35	99.36	99.38	99.43	99.36	98.93	100	98.94	98.92	98.93	98.95	98.91	98.8	98.74	98.81	98.83	98.86	98.81	98.82	98.67	99.27	99.42	99.37	99.33	99.35	99.35	99.38	98.91	95.06	99.37	98.38	98.66	96.57	96.62	96.66	98.97	87.24	87.32	87.24	87.31	87.23	87.28	87.23	87.11	87.3	86.99	86.92	87.25	87.27	87.26	87.25	86.98	87.33	87.13	87.17	87.33	87.27	87.22	87.24	87.17	87.2	87.15	86.93	86.89	87.04	87.29	87.34	87.3	87.18	87.52	87.59	87.26	87.32	86.83	86.95	86.93	87.28	87.35	87.01	86.91	87.18	87.58	87.65	87.64	87.55	87.63	87.67	87.57	87.57	87.7	87.56	87.49	87.56	81.82
SaCNT798_HI	96.61	96.55	98.94	98.95	98.96	98.86	98.86	98.99	99.04	98.31	98.33	99.05	98.29	98.3	99.04	99.04	98.89	98.9	98.88	98.88	98.9	98.93	98.9	98.92	98.93	98.93	98.92	98.87	98.89	98.93	98.92	99.33	98.94	100	99.56	99.99	99.99	99.57	99.42	99.42	98.69	98.68	98.63	98.68	98.66	98.86	98.91	98.95	98.91	98.9	98.91	98.88	98.94	99.28	94.95	98.91	98.34	98.91	96.56	96.62	96.62	99.32	87.26	87.25	87.5	87.42	87.32	87.27	87.28	87.11	87.51	86.91	86.88	87.05	87.16	87.3	87.33	86.85	87.12	87	87.12	87.25	87.09	87.13	87.22	87.16	87.28	86.95	87.04	87.06	87.1	87.34	87.41	87.4	87.26	87.28	87.26	87.3	87.13	86.9	86.94	86.94	87.01	87.36	86.93	86.83	87.23	87.48	87.62	87.6	87.53	87.62	87.58	87.52	87.54	87.64	87.54	87.5	87.46	81.79
SaCNT799_HI	96.61	96.56	98.98	98.97	99.02	98.85	98.89	98.96	99.08	98.32	98.32	99.08	98.28	98.31	99.08	99.08	98.92	98.89	98.89	98.93	98.89	98.92	98.9	98.91	98.91	98.89	98.92	98.89	98.92	98.93	98.91	99.35	98.92	99.56	100	99.58	99.57	100	99.45	99.44	98.66	98.66	98.64	98.66	98.67	98.89	98.9	98.94	98.91	98.91	98.93	98.92	98.92	99.33	94.89	98.88	98.31	98.88	96.57	96.64	96.59	99.41	87.32	87.3	87.29	87.31	87.34	87.28	87.33	87.11	87.36	87.05	86.87	87.04	87.11	87.25	87.38	86.89	87.11	87.1	87.18	87.38	87.06	87.07	87.35	87.19	87.29	86.98	87.03	87.06	87.15	87.47	87.45	87.4	87.24	87.34	87.27	87.34	87.21	86.9	86.95	86.87	87.04	87.39	86.85	86.98	87.24	87.52	87.61	87.73	87.58	87.66	87.58	87.52	87.5	87.65	87.55	87.51	87.62	81.79
SaCNT800_HI	96.63	96.53	98.93	98.94	98.97	98.86	98.86	98.99	99.05	98.32	98.33	99.06	98.31	98.31	99.05	99.05	98.89	98.89	98.85	98.92	98.89	98.92	98.88	98.9	98.91	98.93	98.92	98.88	98.9	98.93	98.91	99.35	98.93	99.99	99.58	100	99.99	99.57	99.4	99.43	98.69	98.67	98.62	98.67	98.65	98.85	98.9	98.93	98.91	98.91	98.93	98.92	98.91	99.33	94.96	98.9	98.32	98.89	96.56	96.64	96.62	99.36	87.26	87.22	87.29	87.24	87.25	87.28	87.2	87.07	87.26	86.87	86.89	87.02	87.09	87.27	87.28	86.87	87.09	86.96	87.14	87.22	87.09	87.05	87.24	87.09	87.22	86.97	87.03	87.03	87.07	87.24	87.41	87.33	87.25	87.26	87.22	87.3	87.12	86.87	86.9	86.9	87	87.3	86.9	86.85	87.16	87.47	87.63	87.62	87.52	87.61	87.61	87.52	87.51	87.61	87.57	87.49	87.49	81.71
SaCNT849_HI	96.6	96.54	98.93	98.94	98.96	98.86	98.86	98.98	99.03	98.32	98.32	99.03	98.3	98.31	99.03	99.04	98.9	98.89	98.89	98.91	98.89	98.93	98.88	98.92	98.91	98.93	98.92	98.86	98.89	98.93	98.92	99.32	98.95	99.99	99.57	99.99	100	99.56	99.42	99.42	98.68	98.67	98.63	98.69	98.67	98.86	98.88	98.95	98.91	98.92	98.93	98.9	98.92	99.31	94.96	98.9	98.3	98.89	96.52	96.65	96.59	99.34	87.28	87.3	87.32	87.28	87.23	87.28	87.29	87.09	87.31	86.95	86.84	87.02	87.09	87.34	87.3	86.91	87.07	86.97	87.13	87.27	87.15	87.1	87.24	87.14	87.23	87.03	87.07	87.01	87.11	87.35	87.35	87.36	87.31	87.29	87.25	87.31	87.13	86.82	86.87	86.87	87.04	87.33	86.91	86.86	87.24	87.53	87.63	87.65	87.55	87.6	87.6	87.58	87.56	87.61	87.57	87.57	87.46	81.62
SaCNT850_HI	96.62	96.56	99	98.98	99.02	98.86	98.88	98.97	99.09	98.33	98.32	99.08	98.29	98.3	99.07	99.09	98.91	98.89	98.9	98.93	98.9	98.9	98.9	98.91	98.91	98.89	98.93	98.92	98.91	98.94	98.91	99.35	98.91	99.57	100	99.57	99.56	100	99.46	99.44	98.66	98.66	98.65	98.69	98.65	98.88	98.9	98.94	98.91	98.91	98.92	98.91	98.91	99.33	94.92	98.9	98.32	98.88	96.58	96.63	96.64	99.4	87.35	87.33	87.28	87.32	87.34	87.32	87.34	87.13	87.32	86.97	86.86	87.05	87.12	87.28	87.42	86.9	87.12	87.05	87.21	87.44	87.08	87.06	87.31	87.23	87.27	86.96	87.08	87.08	87.15	87.51	87.46	87.45	87.24	87.32	87.32	87.4	87.22	86.96	86.96	86.89	87.05	87.34	86.9	86.97	87.24	87.51	87.64	87.72	87.6	87.63	87.59	87.52	87.5	87.66	87.57	87.5	87.54	81.74
SaCNT857_HI	96.57	96.52	98.89	98.9	98.94	98.78	98.85	98.94	98.98	98.26	98.3	98.98	98.23	98.24	98.96	98.98	98.81	98.82	98.8	98.78	98.79	98.82	98.77	98.81	98.84	98.78	98.77	98.75	98.81	98.88	98.83	99.27	98.8	99.42	99.45	99.4	99.42	99.46	100	99.74	98.68	98.65	98.7	98.7	98.65	98.86	98.79	98.79	98.79	98.8	98.85	98.85	98.76	99.25	94.83	98.8	98.27	98.84	96.54	96.58	96.61	99.28	87.13	87.13	87.21	87.21	87.08	87.21	87.28	87.15	87.16	86.9	87.01	86.99	87.03	87.17	87.18	86.92	87.11	87.02	86.98	87.24	86.99	87.07	87.31	87.05	87.19	87.07	87.09	87.1	86.98	87.17	87.39	87.23	87.18	87.17	87.1	87.17	86.94	86.89	86.99	86.95	87	87.15	86.92	86.99	87.3	87.53	87.5	87.52	87.58	87.42	87.48	87.6	87.55	87.5	87.56	87.54	87.5	81.63
SaCNT859_HI	96.54	96.5	98.86	98.89	98.91	98.77	98.81	98.88	98.95	98.22	98.25	98.93	98.15	98.15	98.93	98.97	98.79	98.79	98.8	98.77	98.8	98.81	98.8	98.77	98.77	98.76	98.82	98.79	98.76	98.82	98.82	99.19	98.74	99.42	99.44	99.43	99.42	99.44	99.74	100	98.66	98.63	98.7	98.7	98.63	98.82	98.78	98.77	98.82	98.84	98.87	98.82	98.8	99.13	94.81	98.78	98.2	98.82	96.48	96.55	96.58	99.23	87.11	87.14	87.35	87.24	87.1	87.11	87.24	87.12	87.36	87.1	86.88	86.92	87.03	87.19	87.22	86.87	87	87	87.01	87.04	87.02	87	87.33	87.02	87.09	87.06	87.07	87.06	86.98	87.25	87.4	87.31	87.2	87.2	87.07	87.21	86.91	86.91	86.95	86.94	86.92	87.16	86.89	86.88	87.23	87.53	87.47	87.53	87.61	87.5	87.47	87.61	87.53	87.52	87.63	87.56	87.55	81.82
SaCNX481_PM	96.6	96.52	98.53	98.55	98.66	98.77	98.48	98.46	98.63	98.17	98.16	98.57	98.12	98.12	98.58	98.64	98.84	98.82	98.81	98.83	98.82	98.78	98.8	98.79	98.81	98.84	98.81	98.85	98.85	98.79	98.88	98.62	98.81	98.69	98.66	98.69	98.68	98.66	98.68	98.66	100	99.53	99.53	99.51	99.53	98.47	98.79	98.75	98.84	98.78	98.86	98.84	98.82	98.64	94.85	98.82	98.15	98.5	96.46	96.56	96.56	98.7	87.19	87.15	87.18	87.17	87.14	87.32	87.18	87.09	87.24	86.94	87.06	86.95	87.06	87.26	87.13	86.92	87.05	87.18	87.02	87.3	87.09	87.12	87.15	87.03	87.11	87.14	86.99	87.05	87	87.22	87.5	87.27	87.15	87.13	87.12	87.25	87.05	86.96	86.98	86.99	87.02	87.15	87	86.9	87.29	87.57	87.62	87.72	87.56	87.65	87.5	87.7	87.62	87.53	87.65	87.56	87.62	81.76
SaCNX482_PM	96.55	96.52	98.52	98.56	98.64	98.79	98.46	98.52	98.62	98.16	98.16	98.58	98.09	98.11	98.58	98.62	98.85	98.82	98.75	98.83	98.85	98.77	98.83	98.8	98.78	98.87	98.86	98.86	98.81	98.82	98.82	98.62	98.83	98.68	98.66	98.67	98.67	98.66	98.65	98.63	99.53	100	99.5	99.48	99.52	98.47	98.79	98.77	98.83	98.81	98.84	98.82	98.8	98.64	94.91	98.81	98.15	98.46	96.5	96.53	96.53	98.67	87.14	87.17	87.22	87.28	87.2	87.33	87.19	87.25	87.33	87.04	87.01	86.95	87.04	87.28	87.2	86.94	87.12	87.24	87.06	87.31	87.2	87.16	87.19	87.12	87.16	87.14	87.07	87.12	87.06	87.24	87.52	87.36	87.19	87.24	87.27	87.35	87.13	87.05	87.08	87	87.08	87.23	86.98	86.91	87.5	87.53	87.63	87.71	87.61	87.62	87.51	87.72	87.63	87.53	87.66	87.53	87.57	81.75
SaCNX508_PM	96.61	96.49	98.54	98.55	98.64	98.8	98.49	98.56	98.64	98.17	98.2	98.63	98.17	98.19	98.62	98.64	98.84	98.84	98.82	98.86	98.85	98.83	98.83	98.81	98.85	98.85	98.84	98.86	98.85	98.86	98.85	98.68	98.86	98.63	98.64	98.62	98.63	98.65	98.7	98.7	99.53	99.5	100	99.54	99.48	98.49	98.84	98.83	98.84	98.84	98.85	98.85	98.84	98.68	94.83	98.85	98.18	98.5	96.53	96.6	96.63	98.68	87.1	87.18	87.12	87.19	87.09	87.1	87.25	87.09	87.14	86.96	86.88	86.91	86.98	87.2	87.15	86.98	86.99	87.01	87.03	87.1	87	86.99	87.14	87.01	87.11	86.94	87.08	87.02	87	87.16	87.36	87.17	87.14	87.11	87.21	87.13	87	86.93	87.06	87.03	86.95	87.17	86.94	86.88	87.38	87.55	87.49	87.48	87.56	87.48	87.5	87.61	87.56	87.57	87.58	87.46	87.5	81.78
SaCNX814_PM	96.59	96.5	98.51	98.55	98.64	98.77	98.5	98.54	98.65	98.16	98.19	98.56	98.12	98.12	98.6	98.65	98.86	98.88	98.79	98.79	98.86	98.81	98.82	98.81	98.8	98.82	98.82	98.84	98.86	98.84	98.88	98.63	98.81	98.68	98.66	98.67	98.69	98.69	98.7	98.7	99.51	99.48	99.54	100	99.5	98.48	98.79	98.77	98.85	98.83	98.85	98.83	98.82	98.64	94.88	98.83	98.14	98.51	96.48	96.59	96.59	98.65	87.18	87.16	87.26	87.18	87.21	87.18	87.34	87.13	87.16	87.12	87.01	86.96	87.07	87.22	87.27	86.9	87.13	87.11	87.11	87.23	87.01	87.07	87.25	87.14	87.21	87.11	87.04	87.04	87.1	87.21	87.42	87.25	87.26	87.3	87.25	87.38	87.06	86.95	86.99	86.95	86.99	87.23	86.99	86.91	87.36	87.56	87.53	87.63	87.68	87.56	87.52	87.65	87.63	87.59	87.65	87.65	87.6	81.75
SaCNX891_PM	96.59	96.5	98.49	98.53	98.64	98.81	98.47	98.52	98.62	98.2	98.19	98.61	98.19	98.19	98.6	98.62	98.85	98.84	98.78	98.84	98.85	98.81	98.83	98.82	98.81	98.85	98.85	98.86	98.84	98.84	98.85	98.64	98.82	98.66	98.67	98.65	98.67	98.65	98.65	98.63	99.53	99.52	99.48	99.5	100	98.45	98.81	98.81	98.83	98.83	98.85	98.84	98.82	98.65	94.93	98.83	98.18	98.52	96.53	96.56	96.58	98.66	87.17	87.13	87.25	87.2	87.14	87.22	87.25	87.12	87.18	86.98	86.89	86.98	87.02	87.16	87.24	86.95	87.07	86.99	87.03	87.16	86.98	87.26	87.25	87.07	87.17	87.06	87.01	87.08	87	87.22	87.43	87.23	87.2	87.19	87.11	87.24	86.99	86.95	86.95	86.97	86.97	87.2	87.03	86.88	87.31	87.64	87.57	87.65	87.62	87.52	87.59	87.6	87.66	87.6	87.62	87.62	87.56	81.73
SaCNY011_BA	96.71	96.68	99.57	99.56	98.77	98.63	99.88	99.55	98.85	98.17	98.18	98.84	98.12	98.14	98.82	98.84	98.64	98.63	98.63	98.68	98.66	98.66	98.66	98.65	98.66	98.64	98.64	98.68	98.63	98.69	98.64	98.92	98.67	98.86	98.89	98.85	98.86	98.88	98.86	98.82	98.47	98.47	98.49	98.48	98.45	100	98.67	98.67	98.65	98.68	98.7	98.65	98.63	98.9	94.77	98.62	98.15	99.63	96.68	96.76	96.73	98.91	87.14	87.08	87.09	87.11	87.03	87.08	87.22	87.12	87.11	86.83	86.85	86.89	86.86	87.05	87.11	86.84	86.92	86.97	86.99	87.11	86.94	86.92	87.26	87.01	87.04	86.87	87.05	87.08	86.92	87.18	87.45	87.16	87.06	87.13	87.12	87.16	87	86.87	86.93	86.88	86.9	87.13	86.89	86.87	87.17	87.48	87.47	87.48	87.56	87.44	87.47	87.54	87.51	87.52	87.46	87.49	87.51	81.69
SaCNY230_FJ	96.66	96.58	98.68	98.74	98.88	99.01	98.66	98.69	98.84	98.36	98.36	98.78	98.32	98.32	98.79	98.84	99.27	99.27	99.19	99.26	99.26	99.24	99.27	99.28	99.3	99.24	99.29	99.31	99.32	99.26	99.34	98.91	99.27	98.91	98.9	98.9	98.88	98.9	98.79	98.78	98.79	98.79	98.84	98.79	98.81	98.67	100	99.3	99.37	99.29	99.33	99.35	99.29	98.9	95.01	99.35	98.29	98.65	96.61	96.67	96.6	98.89	87.34	87.34	87.46	87.39	87.34	87.29	87.37	87.19	87.26	87.27	87.02	87.27	87.31	87.38	87.52	86.93	87.36	87.19	87.22	87.38	87.23	87.35	87.21	87.33	87.29	87.07	87.03	87.12	87.24	87.44	87.53	87.49	87.4	87.79	87.75	87.43	87.24	86.89	87.02	86.94	87.26	87.32	86.98	86.91	87.38	87.59	87.6	87.79	87.63	87.62	87.61	87.56	87.63	87.67	87.67	87.65	87.63	81.75
SaCNY231_FJ	96.62	96.56	98.71	98.73	98.85	99.05	98.68	98.7	98.84	98.33	98.34	98.76	98.32	98.3	98.81	98.85	99.3	99.26	99.2	99.33	99.3	99.24	99.33	99.28	99.32	99.29	99.35	99.33	99.38	99.39	99.35	98.96	99.42	98.95	98.94	98.93	98.95	98.94	98.79	98.77	98.75	98.77	98.83	98.77	98.81	98.67	99.3	100	99.32	99.3	99.31	99.41	99.3	98.93	94.96	99.35	98.33	98.63	96.59	96.66	96.66	98.97	87.2	87.3	87.22	87.22	87.2	87.2	87.17	87.06	87.27	86.94	86.9	87.21	87.2	87.38	87.21	86.94	87.23	87.24	87.15	87.29	87.4	87.18	87.23	87.16	87.15	87.22	86.97	86.99	87.14	87.25	87.4	87.36	87.12	87.57	87.59	87.23	87.32	86.81	86.97	86.93	87.35	87.33	86.91	86.89	87.18	87.61	87.67	87.72	87.5	87.65	87.61	87.57	87.61	87.65	87.56	87.53	87.51	81.75
SaCNY234_FJ	96.66	96.57	98.73	98.74	98.81	99.05	98.66	98.73	98.84	98.35	98.35	98.84	98.32	98.33	98.86	98.84	99.32	99.32	99.24	99.32	99.29	99.3	99.31	99.32	99.31	99.3	99.34	99.43	99.42	99.35	99.4	98.91	99.37	98.91	98.91	98.91	98.91	98.91	98.79	98.82	98.84	98.83	98.84	98.85	98.83	98.65	99.37	99.32	100	99.37	99.36	99.39	99.42	98.9	94.99	99.74	98.33	98.64	96.59	96.68	96.67	98.92	87.26	87.27	87.33	87.37	87.26	87.24	87.23	87.08	87.25	87.01	86.9	87.24	87.29	87.23	87.26	86.94	87.32	86.98	87.16	87.25	87.18	87.17	87.19	87.16	87.26	86.98	87.04	87.08	87.09	87.33	87.44	87.27	87.31	87.15	87.23	87.26	87.13	86.82	86.97	86.95	87.26	87.32	86.93	86.9	87.23	87.6	87.72	87.67	87.6	87.65	87.67	87.6	87.53	87.7	87.62	87.54	87.57	81.8
