gene	variable	value	bgcname	cluster	bp_count	repseq	genedescription
total.lomaiviticin.cluster30.aln	clade4	0	lomaiviticin	cluster30	216	pup	Prokaryotic ubiquitin-like protein Pup
total.lomaiviticin.cluster30.aln	clade5	0	lomaiviticin	cluster30	216	pup	Prokaryotic ubiquitin-like protein Pup
total.lomaiviticin.cluster30.aln	clade6	0	lomaiviticin	cluster30	216	pup	Prokaryotic ubiquitin-like protein Pup
total.lomaiviticin.cluster30.aln	clade10	0	lomaiviticin	cluster30	216	pup	Prokaryotic ubiquitin-like protein Pup
total.lomaiviticin.cluster30.aln	clade7	4	lomaiviticin	cluster30	216	pup	Prokaryotic ubiquitin-like protein Pup
total.lomaiviticin.cluster31.aln	clade3	0	lomaiviticin	cluster31	1518	dop	Depupylase
total.lomaiviticin.cluster31.aln	clade6	0	lomaiviticin	cluster31	1518	dop	Depupylase
total.lomaiviticin.cluster31.aln	clade4	0	lomaiviticin	cluster31	1518	dop	Depupylase
total.lomaiviticin.cluster31.aln	clade7	24.6666666666667	lomaiviticin	cluster31	1518	dop	Depupylase
total.lomaiviticin.cluster31.aln	clade8	10.901185770751	lomaiviticin	cluster31	1518	dop	Depupylase
total.lomaiviticin.cluster31.aln	clade5	0	lomaiviticin	cluster31	1518	dop	Depupylase
total.lomaiviticin.cluster31.aln	clade1	0.863636363636364	lomaiviticin	cluster31	1518	dop	Depupylase
total.lomaiviticin.cluster31.aln	clade2	7	lomaiviticin	cluster31	1518	dop	Depupylase
total.lomaiviticin.cluster31.aln	clade10	0	lomaiviticin	cluster31	1518	dop	Depupylase
total.lomaiviticin.cluster32.aln	clade7	15.3333333333333	lomaiviticin	cluster32	1359	pafA	Pup--protein ligase
total.lomaiviticin.cluster32.aln	clade4	0	lomaiviticin	cluster32	1359	pafA	Pup--protein ligase
total.lomaiviticin.cluster32.aln	clade1	2.31818181818182	lomaiviticin	cluster32	1359	pafA	Pup--protein ligase
total.lomaiviticin.cluster32.aln	clade2	2	lomaiviticin	cluster32	1359	pafA	Pup--protein ligase
total.lomaiviticin.cluster32.aln	clade8	8.08695652173913	lomaiviticin	cluster32	1359	pafA	Pup--protein ligase
total.lomaiviticin.cluster32.aln	clade5	0	lomaiviticin	cluster32	1359	pafA	Pup--protein ligase
total.lomaiviticin.cluster32.aln	clade10	0	lomaiviticin	cluster32	1359	pafA	Pup--protein ligase
total.lomaiviticin.cluster32.aln	clade3	0	lomaiviticin	cluster32	1359	pafA	Pup--protein ligase
total.lomaiviticin.cluster32.aln	clade6	0	lomaiviticin	cluster32	1359	pafA	Pup--protein ligase
total.lomaiviticin.cluster33.aln	clade3	0	lomaiviticin	cluster33	1272	HHFHFFJP_01333	Actinorhodin polyketide putative beta-ketoacyl synthase 1
total.lomaiviticin.cluster33.aln	clade6	0	lomaiviticin	cluster33	1272	HHFHFFJP_01333	Actinorhodin polyketide putative beta-ketoacyl synthase 1
total.lomaiviticin.cluster33.aln	clade10	0	lomaiviticin	cluster33	1272	HHFHFFJP_01333	Actinorhodin polyketide putative beta-ketoacyl synthase 1
total.lomaiviticin.cluster33.aln	clade7	32.6666666666667	lomaiviticin	cluster33	1272	HHFHFFJP_01333	Actinorhodin polyketide putative beta-ketoacyl synthase 1
total.lomaiviticin.cluster33.aln	clade8	4.35573122529644	lomaiviticin	cluster33	1272	HHFHFFJP_01333	Actinorhodin polyketide putative beta-ketoacyl synthase 1
total.lomaiviticin.cluster33.aln	clade4	0	lomaiviticin	cluster33	1272	HHFHFFJP_01333	Actinorhodin polyketide putative beta-ketoacyl synthase 1
total.lomaiviticin.cluster33.aln	clade5	0	lomaiviticin	cluster33	1272	HHFHFFJP_01333	Actinorhodin polyketide putative beta-ketoacyl synthase 1
total.lomaiviticin.cluster33.aln	clade1	1.8030303030303	lomaiviticin	cluster33	1272	HHFHFFJP_01333	Actinorhodin polyketide putative beta-ketoacyl synthase 1
total.lomaiviticin.cluster33.aln	clade2	2	lomaiviticin	cluster33	1272	HHFHFFJP_01333	Actinorhodin polyketide putative beta-ketoacyl synthase 1
total.lomaiviticin.cluster34.aln	clade8	9.05928853754941	lomaiviticin	cluster34	1329	HHFHFFJP_01334	Actinorhodin polyketide putative beta-ketoacyl synthase 2
total.lomaiviticin.cluster34.aln	clade4	0	lomaiviticin	cluster34	1329	HHFHFFJP_01334	Actinorhodin polyketide putative beta-ketoacyl synthase 2
total.lomaiviticin.cluster34.aln	clade10	0	lomaiviticin	cluster34	1329	HHFHFFJP_01334	Actinorhodin polyketide putative beta-ketoacyl synthase 2
total.lomaiviticin.cluster34.aln	clade7	29.3333333333333	lomaiviticin	cluster34	1329	HHFHFFJP_01334	Actinorhodin polyketide putative beta-ketoacyl synthase 2
total.lomaiviticin.cluster34.aln	clade2	2	lomaiviticin	cluster34	1329	HHFHFFJP_01334	Actinorhodin polyketide putative beta-ketoacyl synthase 2
total.lomaiviticin.cluster34.aln	clade5	0	lomaiviticin	cluster34	1329	HHFHFFJP_01334	Actinorhodin polyketide putative beta-ketoacyl synthase 2
total.lomaiviticin.cluster34.aln	clade1	2.68181818181818	lomaiviticin	cluster34	1329	HHFHFFJP_01334	Actinorhodin polyketide putative beta-ketoacyl synthase 2
total.lomaiviticin.cluster34.aln	clade3	0	lomaiviticin	cluster34	1329	HHFHFFJP_01334	Actinorhodin polyketide putative beta-ketoacyl synthase 2
total.lomaiviticin.cluster34.aln	clade6	0	lomaiviticin	cluster34	1329	HHFHFFJP_01334	Actinorhodin polyketide putative beta-ketoacyl synthase 2
total.lomaiviticin.cluster35.aln	clade2	2	lomaiviticin	cluster35	192	GHFKALDJ_02817	hypothetical protein
total.lomaiviticin.cluster35.aln	clade3	0	lomaiviticin	cluster35	192	GHFKALDJ_02817	hypothetical protein
total.lomaiviticin.cluster35.aln	clade10	0	lomaiviticin	cluster35	192	GHFKALDJ_02817	hypothetical protein
total.lomaiviticin.cluster35.aln	clade1	0.333333333333333	lomaiviticin	cluster35	192	GHFKALDJ_02817	hypothetical protein
total.lomaiviticin.cluster35.aln	clade8	1.76284584980237	lomaiviticin	cluster35	192	GHFKALDJ_02817	hypothetical protein
total.lomaiviticin.cluster35.aln	clade4	0	lomaiviticin	cluster35	192	GHFKALDJ_02817	hypothetical protein
total.lomaiviticin.cluster35.aln	clade6	0	lomaiviticin	cluster35	192	GHFKALDJ_02817	hypothetical protein
total.lomaiviticin.cluster35.aln	clade7	1.33333333333333	lomaiviticin	cluster35	192	GHFKALDJ_02817	hypothetical protein
total.lomaiviticin.cluster35.aln	clade5	0	lomaiviticin	cluster35	192	GHFKALDJ_02817	hypothetical protein
total.lomaiviticin.cluster36.aln	clade1	3.60606060606061	lomaiviticin	cluster36	2550	HHFHFFJP_01343	hypothetical protein
total.lomaiviticin.cluster36.aln	clade2	13	lomaiviticin	cluster36	2550	HHFHFFJP_01343	hypothetical protein
total.lomaiviticin.cluster36.aln	clade10	0	lomaiviticin	cluster36	2550	HHFHFFJP_01343	hypothetical protein
total.lomaiviticin.cluster36.aln	clade7	57.3333333333333	lomaiviticin	cluster36	2550	HHFHFFJP_01343	hypothetical protein
total.lomaiviticin.cluster36.aln	clade3	0	lomaiviticin	cluster36	2550	HHFHFFJP_01343	hypothetical protein
total.lomaiviticin.cluster36.aln	clade4	0	lomaiviticin	cluster36	2550	HHFHFFJP_01343	hypothetical protein
total.lomaiviticin.cluster36.aln	clade5	0	lomaiviticin	cluster36	2550	HHFHFFJP_01343	hypothetical protein
total.lomaiviticin.cluster36.aln	clade8	48.3162055335968	lomaiviticin	cluster36	2550	HHFHFFJP_01343	hypothetical protein
total.lomaiviticin.cluster36.aln	clade6	0	lomaiviticin	cluster36	2550	HHFHFFJP_01343	hypothetical protein
total.lomaiviticin.cluster37.aln	clade10	0	lomaiviticin	cluster37	2769	helY	putative helicase HelY
total.lomaiviticin.cluster37.aln	clade2	6	lomaiviticin	cluster37	2769	helY	putative helicase HelY
total.lomaiviticin.cluster37.aln	clade5	0	lomaiviticin	cluster37	2769	helY	putative helicase HelY
total.lomaiviticin.cluster37.aln	clade1	3.1969696969697	lomaiviticin	cluster37	2769	helY	putative helicase HelY
total.lomaiviticin.cluster37.aln	clade3	0	lomaiviticin	cluster37	2769	helY	putative helicase HelY
total.lomaiviticin.cluster37.aln	clade4	0	lomaiviticin	cluster37	2769	helY	putative helicase HelY
total.lomaiviticin.cluster37.aln	clade6	0	lomaiviticin	cluster37	2769	helY	putative helicase HelY
total.lomaiviticin.cluster37.aln	clade7	33.3333333333333	lomaiviticin	cluster37	2769	helY	putative helicase HelY
total.lomaiviticin.cluster37.aln	clade8	11.3280632411067	lomaiviticin	cluster37	2769	helY	putative helicase HelY
total.lomaiviticin.cluster38.aln	clade2	6	lomaiviticin	cluster38	1782	arc	Proteasome-associated ATPase
total.lomaiviticin.cluster38.aln	clade4	0	lomaiviticin	cluster38	1782	arc	Proteasome-associated ATPase
total.lomaiviticin.cluster38.aln	clade10	0	lomaiviticin	cluster38	1782	arc	Proteasome-associated ATPase
total.lomaiviticin.cluster38.aln	clade1	3.12121212121212	lomaiviticin	cluster38	1782	arc	Proteasome-associated ATPase
total.lomaiviticin.cluster38.aln	clade3	0	lomaiviticin	cluster38	1782	arc	Proteasome-associated ATPase
total.lomaiviticin.cluster38.aln	clade5	0	lomaiviticin	cluster38	1782	arc	Proteasome-associated ATPase
total.lomaiviticin.cluster38.aln	clade7	21.3333333333333	lomaiviticin	cluster38	1782	arc	Proteasome-associated ATPase
total.lomaiviticin.cluster38.aln	clade8	8.48221343873518	lomaiviticin	cluster38	1782	arc	Proteasome-associated ATPase
total.lomaiviticin.cluster38.aln	clade6	0	lomaiviticin	cluster38	1782	arc	Proteasome-associated ATPase
total.lomaiviticin.cluster4.aln	clade10	0	lomaiviticin	cluster4	951	tatC	Sec-independent protein translocase protein TatC
total.lomaiviticin.cluster4.aln	clade2	4	lomaiviticin	cluster4	951	tatC	Sec-independent protein translocase protein TatC
total.lomaiviticin.cluster4.aln	clade3	0	lomaiviticin	cluster4	951	tatC	Sec-independent protein translocase protein TatC
total.lomaiviticin.cluster4.aln	clade5	0	lomaiviticin	cluster4	951	tatC	Sec-independent protein translocase protein TatC
total.lomaiviticin.cluster4.aln	clade1	2.1969696969697	lomaiviticin	cluster4	951	tatC	Sec-independent protein translocase protein TatC
total.lomaiviticin.cluster4.aln	clade4	0	lomaiviticin	cluster4	951	tatC	Sec-independent protein translocase protein TatC
total.lomaiviticin.cluster4.aln	clade7	20	lomaiviticin	cluster4	951	tatC	Sec-independent protein translocase protein TatC
total.lomaiviticin.cluster4.aln	clade6	0	lomaiviticin	cluster4	951	tatC	Sec-independent protein translocase protein TatC
total.lomaiviticin.cluster4.aln	clade8	4.90118577075099	lomaiviticin	cluster4	951	tatC	Sec-independent protein translocase protein TatC
total.lomaiviticin.cluster40.aln	clade2	3	lomaiviticin	cluster40	1770	HHFHFFJP_01318	Putative multidrug export ATP-binding/permease protein
total.lomaiviticin.cluster40.aln	clade3	0	lomaiviticin	cluster40	1770	HHFHFFJP_01318	Putative multidrug export ATP-binding/permease protein
total.lomaiviticin.cluster40.aln	clade10	0	lomaiviticin	cluster40	1770	HHFHFFJP_01318	Putative multidrug export ATP-binding/permease protein
total.lomaiviticin.cluster40.aln	clade1	1.8030303030303	lomaiviticin	cluster40	1770	HHFHFFJP_01318	Putative multidrug export ATP-binding/permease protein
total.lomaiviticin.cluster40.aln	clade8	11.1699604743083	lomaiviticin	cluster40	1770	HHFHFFJP_01318	Putative multidrug export ATP-binding/permease protein
total.lomaiviticin.cluster40.aln	clade4	0	lomaiviticin	cluster40	1770	HHFHFFJP_01318	Putative multidrug export ATP-binding/permease protein
total.lomaiviticin.cluster40.aln	clade5	0	lomaiviticin	cluster40	1770	HHFHFFJP_01318	Putative multidrug export ATP-binding/permease protein
total.lomaiviticin.cluster40.aln	clade7	23.3333333333333	lomaiviticin	cluster40	1770	HHFHFFJP_01318	Putative multidrug export ATP-binding/permease protein
total.lomaiviticin.cluster40.aln	clade6	0	lomaiviticin	cluster40	1770	HHFHFFJP_01318	Putative multidrug export ATP-binding/permease protein
total.lomaiviticin.cluster41.aln	clade1	1.31818181818182	lomaiviticin	cluster41	1143	rip3_1	Putative zinc metalloprotease Rip3
total.lomaiviticin.cluster41.aln	clade2	1	lomaiviticin	cluster41	1143	rip3_1	Putative zinc metalloprotease Rip3
total.lomaiviticin.cluster41.aln	clade10	0	lomaiviticin	cluster41	1143	rip3_1	Putative zinc metalloprotease Rip3
total.lomaiviticin.cluster41.aln	clade7	28.6666666666667	lomaiviticin	cluster41	1143	rip3_1	Putative zinc metalloprotease Rip3
total.lomaiviticin.cluster41.aln	clade3	0	lomaiviticin	cluster41	1143	rip3_1	Putative zinc metalloprotease Rip3
total.lomaiviticin.cluster41.aln	clade4	0	lomaiviticin	cluster41	1143	rip3_1	Putative zinc metalloprotease Rip3
total.lomaiviticin.cluster41.aln	clade5	0	lomaiviticin	cluster41	1143	rip3_1	Putative zinc metalloprotease Rip3
total.lomaiviticin.cluster41.aln	clade8	8.43478260869565	lomaiviticin	cluster41	1143	rip3_1	Putative zinc metalloprotease Rip3
total.lomaiviticin.cluster41.aln	clade6	0	lomaiviticin	cluster41	1143	rip3_1	Putative zinc metalloprotease Rip3
total.lomaiviticin.cluster42.aln	clade10	0	lomaiviticin	cluster42	249	HHFHFFJP_01362	hypothetical protein
total.lomaiviticin.cluster42.aln	clade2	2	lomaiviticin	cluster42	249	HHFHFFJP_01362	hypothetical protein
total.lomaiviticin.cluster42.aln	clade5	0	lomaiviticin	cluster42	249	HHFHFFJP_01362	hypothetical protein
total.lomaiviticin.cluster42.aln	clade1	0.409090909090909	lomaiviticin	cluster42	249	HHFHFFJP_01362	hypothetical protein
total.lomaiviticin.cluster42.aln	clade3	0	lomaiviticin	cluster42	249	HHFHFFJP_01362	hypothetical protein
total.lomaiviticin.cluster42.aln	clade4	0	lomaiviticin	cluster42	249	HHFHFFJP_01362	hypothetical protein
total.lomaiviticin.cluster42.aln	clade6	0	lomaiviticin	cluster42	249	HHFHFFJP_01362	hypothetical protein
total.lomaiviticin.cluster42.aln	clade7	11.3333333333333	lomaiviticin	cluster42	249	HHFHFFJP_01362	hypothetical protein
total.lomaiviticin.cluster42.aln	clade8	1.55731225296443	lomaiviticin	cluster42	249	HHFHFFJP_01362	hypothetical protein
total.lomaiviticin.cluster44.aln	clade2	3	lomaiviticin	cluster44	1041	novM_2	L-demethylnoviosyl transferase
total.lomaiviticin.cluster44.aln	clade10	0	lomaiviticin	cluster44	1041	novM_2	L-demethylnoviosyl transferase
total.lomaiviticin.cluster44.aln	clade1	1.68181818181818	lomaiviticin	cluster44	1041	novM_2	L-demethylnoviosyl transferase
total.lomaiviticin.cluster44.aln	clade7	12.6666666666667	lomaiviticin	cluster44	1041	novM_2	L-demethylnoviosyl transferase
total.lomaiviticin.cluster44.aln	clade3	0	lomaiviticin	cluster44	1041	novM_2	L-demethylnoviosyl transferase
total.lomaiviticin.cluster44.aln	clade4	0	lomaiviticin	cluster44	1041	novM_2	L-demethylnoviosyl transferase
total.lomaiviticin.cluster44.aln	clade5	0	lomaiviticin	cluster44	1041	novM_2	L-demethylnoviosyl transferase
total.lomaiviticin.cluster44.aln	clade8	6.65612648221344	lomaiviticin	cluster44	1041	novM_2	L-demethylnoviosyl transferase
total.lomaiviticin.cluster44.aln	clade6	0	lomaiviticin	cluster44	1041	novM_2	L-demethylnoviosyl transferase
total.lomaiviticin.cluster45.aln	clade10	0	lomaiviticin	cluster45	1053	strE_2	dTDP-glucose 4,6-dehydratase
total.lomaiviticin.cluster45.aln	clade3	0	lomaiviticin	cluster45	1053	strE_2	dTDP-glucose 4,6-dehydratase
total.lomaiviticin.cluster45.aln	clade2	10	lomaiviticin	cluster45	1053	strE_2	dTDP-glucose 4,6-dehydratase
total.lomaiviticin.cluster45.aln	clade1	2.66666666666667	lomaiviticin	cluster45	1053	strE_2	dTDP-glucose 4,6-dehydratase
total.lomaiviticin.cluster45.aln	clade8	9.27272727272727	lomaiviticin	cluster45	1053	strE_2	dTDP-glucose 4,6-dehydratase
total.lomaiviticin.cluster45.aln	clade4	0	lomaiviticin	cluster45	1053	strE_2	dTDP-glucose 4,6-dehydratase
total.lomaiviticin.cluster45.aln	clade5	0	lomaiviticin	cluster45	1053	strE_2	dTDP-glucose 4,6-dehydratase
total.lomaiviticin.cluster45.aln	clade7	15.3333333333333	lomaiviticin	cluster45	1053	strE_2	dTDP-glucose 4,6-dehydratase
total.lomaiviticin.cluster45.aln	clade6	0	lomaiviticin	cluster45	1053	strE_2	dTDP-glucose 4,6-dehydratase
total.lomaiviticin.cluster46.aln	clade3	0	lomaiviticin	cluster46	1056	KNPGFKEA_03442	hypothetical protein
total.lomaiviticin.cluster46.aln	clade2	7	lomaiviticin	cluster46	1056	KNPGFKEA_03442	hypothetical protein
total.lomaiviticin.cluster46.aln	clade5	0	lomaiviticin	cluster46	1056	KNPGFKEA_03442	hypothetical protein
total.lomaiviticin.cluster46.aln	clade7	26	lomaiviticin	cluster46	1056	KNPGFKEA_03442	hypothetical protein
total.lomaiviticin.cluster46.aln	clade4	0	lomaiviticin	cluster46	1056	KNPGFKEA_03442	hypothetical protein
total.lomaiviticin.cluster46.aln	clade10	0	lomaiviticin	cluster46	1056	KNPGFKEA_03442	hypothetical protein
total.lomaiviticin.cluster46.aln	clade6	0	lomaiviticin	cluster46	1056	KNPGFKEA_03442	hypothetical protein
total.lomaiviticin.cluster46.aln	clade8	7.11462450592885	lomaiviticin	cluster46	1056	KNPGFKEA_03442	hypothetical protein
total.lomaiviticin.cluster46.aln	clade1	3.18181818181818	lomaiviticin	cluster46	1056	KNPGFKEA_03442	hypothetical protein
total.lomaiviticin.cluster47.aln	clade6	0	lomaiviticin	cluster47	1257	vioA	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
total.lomaiviticin.cluster47.aln	clade3	0	lomaiviticin	cluster47	1257	vioA	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
total.lomaiviticin.cluster47.aln	clade10	0	lomaiviticin	cluster47	1257	vioA	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
total.lomaiviticin.cluster47.aln	clade7	11.3333333333333	lomaiviticin	cluster47	1257	vioA	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
total.lomaiviticin.cluster47.aln	clade5	0	lomaiviticin	cluster47	1257	vioA	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
total.lomaiviticin.cluster47.aln	clade4	0	lomaiviticin	cluster47	1257	vioA	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
total.lomaiviticin.cluster47.aln	clade2	4	lomaiviticin	cluster47	1257	vioA	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
total.lomaiviticin.cluster47.aln	clade1	0.696969696969697	lomaiviticin	cluster47	1257	vioA	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
total.lomaiviticin.cluster47.aln	clade8	5.76284584980237	lomaiviticin	cluster47	1257	vioA	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
total.lomaiviticin.cluster6.aln	clade7	6	lomaiviticin	cluster6	297	JPECDPKM_00463	hypothetical protein
total.lomaiviticin.cluster6.aln	clade10	0	lomaiviticin	cluster6	297	JPECDPKM_00463	hypothetical protein
total.lomaiviticin.cluster6.aln	clade2	0	lomaiviticin	cluster6	297	JPECDPKM_00463	hypothetical protein
total.lomaiviticin.cluster6.aln	clade4	0	lomaiviticin	cluster6	297	JPECDPKM_00463	hypothetical protein
total.lomaiviticin.cluster6.aln	clade8	2.03162055335968	lomaiviticin	cluster6	297	JPECDPKM_00463	hypothetical protein
total.lomaiviticin.cluster6.aln	clade1	0.333333333333333	lomaiviticin	cluster6	297	JPECDPKM_00463	hypothetical protein
total.lomaiviticin.cluster6.aln	clade3	0	lomaiviticin	cluster6	297	JPECDPKM_00463	hypothetical protein
total.lomaiviticin.cluster6.aln	clade5	0	lomaiviticin	cluster6	297	JPECDPKM_00463	hypothetical protein
total.lomaiviticin.cluster6.aln	clade6	0	lomaiviticin	cluster6	297	JPECDPKM_00463	hypothetical protein
total.lomaiviticin.cluster7.aln	clade10	0	lomaiviticin	cluster7	984	ppsE_1	Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsE
total.lomaiviticin.cluster7.aln	clade1	0.166666666666667	lomaiviticin	cluster7	984	ppsE_1	Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsE
total.lomaiviticin.cluster7.aln	clade3	0	lomaiviticin	cluster7	984	ppsE_1	Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsE
total.lomaiviticin.cluster7.aln	clade4	0	lomaiviticin	cluster7	984	ppsE_1	Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsE
total.lomaiviticin.cluster7.aln	clade5	0	lomaiviticin	cluster7	984	ppsE_1	Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsE
total.lomaiviticin.cluster7.aln	clade6	0	lomaiviticin	cluster7	984	ppsE_1	Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsE
total.lomaiviticin.cluster7.aln	clade2	5	lomaiviticin	cluster7	984	ppsE_1	Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsE
total.lomaiviticin.cluster7.aln	clade8	7.33596837944664	lomaiviticin	cluster7	984	ppsE_1	Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsE
total.lomaiviticin.cluster7.aln	clade7	20.6666666666667	lomaiviticin	cluster7	984	ppsE_1	Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsE
total.lomaiviticin.cluster8.aln	clade7	19.3333333333333	lomaiviticin	cluster8	1023	rdmB	Aclacinomycin 10-hydroxylase RdmB
total.lomaiviticin.cluster8.aln	clade8	6.09486166007905	lomaiviticin	cluster8	1023	rdmB	Aclacinomycin 10-hydroxylase RdmB
total.lomaiviticin.cluster8.aln	clade6	0	lomaiviticin	cluster8	1023	rdmB	Aclacinomycin 10-hydroxylase RdmB
total.lomaiviticin.cluster8.aln	clade4	0	lomaiviticin	cluster8	1023	rdmB	Aclacinomycin 10-hydroxylase RdmB
total.lomaiviticin.cluster8.aln	clade10	0	lomaiviticin	cluster8	1023	rdmB	Aclacinomycin 10-hydroxylase RdmB
total.lomaiviticin.cluster8.aln	clade1	1.18181818181818	lomaiviticin	cluster8	1023	rdmB	Aclacinomycin 10-hydroxylase RdmB
total.lomaiviticin.cluster8.aln	clade3	0	lomaiviticin	cluster8	1023	rdmB	Aclacinomycin 10-hydroxylase RdmB
total.lomaiviticin.cluster8.aln	clade2	1	lomaiviticin	cluster8	1023	rdmB	Aclacinomycin 10-hydroxylase RdmB
total.lomaiviticin.cluster8.aln	clade5	0	lomaiviticin	cluster8	1023	rdmB	Aclacinomycin 10-hydroxylase RdmB
total.lymphostin.cluster0.aln	clade7	10	lymphostin	cluster0	858	dnrC_2	Aklanonic acid methyltransferase DnrC
total.lymphostin.cluster0.aln	clade10	5.21748633879781	lymphostin	cluster0	858	dnrC_2	Aklanonic acid methyltransferase DnrC
total.lymphostin.cluster0.aln	clade2	2	lymphostin	cluster0	858	dnrC_2	Aklanonic acid methyltransferase DnrC
total.lymphostin.cluster0.aln	clade8	2.08947368421053	lymphostin	cluster0	858	dnrC_2	Aklanonic acid methyltransferase DnrC
total.lymphostin.cluster0.aln	clade4	51	lymphostin	cluster0	858	dnrC_2	Aklanonic acid methyltransferase DnrC
total.lymphostin.cluster0.aln	clade1	0.545454545454545	lymphostin	cluster0	858	dnrC_2	Aklanonic acid methyltransferase DnrC
total.lymphostin.cluster0.aln	clade3	0	lymphostin	cluster0	858	dnrC_2	Aklanonic acid methyltransferase DnrC
total.lymphostin.cluster0.aln	clade6	0	lymphostin	cluster0	858	dnrC_2	Aklanonic acid methyltransferase DnrC
total.lymphostin.cluster0.aln	clade5	11.1428571428571	lymphostin	cluster0	858	dnrC_2	Aklanonic acid methyltransferase DnrC
total.lymphostin.cluster1.aln	clade10	6.50601092896175	lymphostin	cluster1	1083	LFOLEMLJ_03336	hypothetical protein
total.lymphostin.cluster1.aln	clade1	2.04545454545455	lymphostin	cluster1	1083	LFOLEMLJ_03336	hypothetical protein
total.lymphostin.cluster1.aln	clade2	10	lymphostin	cluster1	1083	LFOLEMLJ_03336	hypothetical protein
total.lymphostin.cluster1.aln	clade4	34	lymphostin	cluster1	1083	LFOLEMLJ_03336	hypothetical protein
total.lymphostin.cluster1.aln	clade5	12.4761904761905	lymphostin	cluster1	1083	LFOLEMLJ_03336	hypothetical protein
total.lymphostin.cluster1.aln	clade7	16.6666666666667	lymphostin	cluster1	1083	LFOLEMLJ_03336	hypothetical protein
total.lymphostin.cluster1.aln	clade3	0	lymphostin	cluster1	1083	LFOLEMLJ_03336	hypothetical protein
total.lymphostin.cluster1.aln	clade6	0	lymphostin	cluster1	1083	LFOLEMLJ_03336	hypothetical protein
total.lymphostin.cluster1.aln	clade8	4.01052631578947	lymphostin	cluster1	1083	LFOLEMLJ_03336	hypothetical protein
total.lymphostin.cluster10.aln	clade8	3.82631578947368	lymphostin	cluster10	1212	LFOLEMLJ_03339	N-acetyldiaminopimelate deacetylase
total.lymphostin.cluster10.aln	clade10	8.18907103825137	lymphostin	cluster10	1212	LFOLEMLJ_03339	N-acetyldiaminopimelate deacetylase
total.lymphostin.cluster10.aln	clade7	24	lymphostin	cluster10	1212	LFOLEMLJ_03339	N-acetyldiaminopimelate deacetylase
total.lymphostin.cluster10.aln	clade3	0	lymphostin	cluster10	1212	LFOLEMLJ_03339	N-acetyldiaminopimelate deacetylase
total.lymphostin.cluster10.aln	clade5	15.6190476190476	lymphostin	cluster10	1212	LFOLEMLJ_03339	N-acetyldiaminopimelate deacetylase
total.lymphostin.cluster10.aln	clade2	2	lymphostin	cluster10	1212	LFOLEMLJ_03339	N-acetyldiaminopimelate deacetylase
total.lymphostin.cluster10.aln	clade6	0	lymphostin	cluster10	1212	LFOLEMLJ_03339	N-acetyldiaminopimelate deacetylase
total.lymphostin.cluster10.aln	clade1	1.74242424242424	lymphostin	cluster10	1212	LFOLEMLJ_03339	N-acetyldiaminopimelate deacetylase
total.lymphostin.cluster10.aln	clade4	30	lymphostin	cluster10	1212	LFOLEMLJ_03339	N-acetyldiaminopimelate deacetylase
total.lymphostin.cluster11.aln	clade10	6.00874316939891	lymphostin	cluster11	1263	BAMJMEEL_00065	hypothetical protein
total.lymphostin.cluster11.aln	clade2	1	lymphostin	cluster11	1263	BAMJMEEL_00065	hypothetical protein
total.lymphostin.cluster11.aln	clade3	0	lymphostin	cluster11	1263	BAMJMEEL_00065	hypothetical protein
total.lymphostin.cluster11.aln	clade6	0	lymphostin	cluster11	1263	BAMJMEEL_00065	hypothetical protein
total.lymphostin.cluster11.aln	clade1	2.60606060606061	lymphostin	cluster11	1263	BAMJMEEL_00065	hypothetical protein
total.lymphostin.cluster11.aln	clade4	22	lymphostin	cluster11	1263	BAMJMEEL_00065	hypothetical protein
total.lymphostin.cluster11.aln	clade5	17.9047619047619	lymphostin	cluster11	1263	BAMJMEEL_00065	hypothetical protein
total.lymphostin.cluster11.aln	clade7	15.3333333333333	lymphostin	cluster11	1263	BAMJMEEL_00065	hypothetical protein
total.lymphostin.cluster11.aln	clade8	4.03157894736842	lymphostin	cluster11	1263	BAMJMEEL_00065	hypothetical protein
total.lymphostin.cluster12.aln	clade3	0	lymphostin	cluster12	2436	LFOLEMLJ_03331	hypothetical protein
total.lymphostin.cluster12.aln	clade4	74	lymphostin	cluster12	2436	LFOLEMLJ_03331	hypothetical protein
